aaaamon.dll,Aaaa Monitor DLL
mfc40.dll,MFCDLL Shared Library - Retail Version
mfc40u.dll,MFCDLL Shared Library - Retail Version
mfc42.dll,MFCDLL Shared Library - Retail Version
mfc42u.dll,MFCDLL Shared Library - Retail Version
mfcsubs.dll,UNKNOWN
mgmtapi.dll,Microsoft SNMP Manager API (uses WinSNMP)
microsoft.managementconsole.dll,MMCFx
midimap.dll,Microsoft MIDI Mapper
miglibnt.dll,NT migration dll support
mimefilt.dll,Microsoft (R) IMimeFilter Persistent Handler DLL
mlang.dll,Multi Language Support DLL
mll_hp.dll,HP Media Label Library
mll_mtf.dll,MTF (Microsoft Tape Format) Media Label Library
mll_qic.dll,QIC113 Media Label Library
mmcbase.dll,MMC Base DLL
mmcex.dll,MMCEx
mmcfxcommon.dll,MMCFxCommon
mmcndmgr.dll,MMC Node Manager DLL
mmcshext.dll,MMC Shell Extension DLL
mmdrv.dll,MultiMedia Kernel support Driver
mmfutil.dll,WMI Snapin Helpers
mmutilse.dll,Microsoft Multimedia Controls Utilities
mnmdd.dll,Application Sharing Display Driver
mobsync.dll,Microsoft Synchronization Manager
modemui.dll,Windows Modem Properties
modex.dll,ModeX Display Driver
moricons.dll,Windows NT Setup Icon Resources Library
mp43dmod.dll,Windows Media MPEG-4 Video Decoder
mp4sdmod.dll,Corona Windows Media MPEG-4 S Video Decoder
mpg4dmod.dll,Corona Windows Media MPEG-4 Video Decoder
mpr.dll,Multiple Provider Router DLL
mprapi.dll,Windows NT MP Router Administration DLL
mprddm.dll,Demand Dial Manager Supervisor
mprdim.dll,Dynamic Interface Manager
mprmsg.dll,Multi-Protocol Router Service Messages DLL
mprui.dll,Multiple Provider
mqad.dll,Windows NT MQ Client AD Access
mqcertui.dll,Windows NT Certificate Dialogs
mqdscli.dll,Windows NT MQ Client Directory Service
mqgentr.dll,MSMQ Trigger Generic Object
mqise.dll,MSMQ ISAPI EXTENSION
mqlogmgr.dll,MS DTC log manager DLL
mqoa.dll,Message Queuing ActiveX Interface
mqperf.dll,Windows NT MQ Performance Coutners
mqqm.dll,Windows NT MQ Queue Manager
mqrt.dll,Windows NT MQ Run time DLL
mqrtdep.dll,Message Queueing Dependent Client
mqsec.dll,Windows NT, MSMQ 2.0 Security
mqsnap.dll,Windows NT MSMQ Admin
mqtrig.dll,MSMQ Trigger Object Module
mqupgrd.dll,MSMQ Upgrade
mqutil.dll,Windows NT MQ Utility DLL
msaatext.dll,Active Accessibility text support
msacm32.dll,Microsoft ACM Audio Filter
msafd.dll,Microsoft Windows Sockets 2.0 Service Provider
msapsspc.dll,DPA Client for 32 bit platforms
